        "glados.a2_triple_laser01"	"<clr:163,193,173>GLaDOS: Federal regulations require me to warn you that this next test chamber... is looking pretty good."
		"glados.a2_triple_laser02"	"<clr:163,193,173>GLaDOS: That's right. The facility is completely operational again."
		"glados.mp_coop_catapult_1end01"	"<clr:163,193,173>GLaDOS: Do you know who dances around like an imbecile when they accomplish the tiniest little thing?"
		"glados.mp_coop_catapult_1end02"	"<clr:163,193,173>GLaDOS: Humans!  That's what you look like right now."
		"glados.mp_coop_catapult_1end03"	"<clr:163,193,173>GLaDOS: You're better than that."
		"glados.mp_coop_catapult_2"	"<clr:163,193,173>GLaDOS: This is a bridge-building exercise. The humans were miserable at this, mostly because you can't build bridges out of tears."
		"glados.mp_coop_catapult_201"	"<clr:163,193,173>GLaDOS: For this next test, the humans originally requested helmets to avoid brain injuries.  I ran the numbers.   Making the goo deadly was more cost effective."
		"glados.mp_coop_catapult_wall_intro01"	"<clr:163,193,173>GLaDOS: One of my best tests and they let plants grow here?  Can you believe this?  You can't test plants!  We tried.  They just sit there, never showing pain nor fear."
		"glados.mp_coop_catapult_wall_intro04"	"<clr:163,193,173>GLaDOS: That isn't science."
		"glados.mp_coop_catapult_wall_intro06"	"<clr:163,193,173>GLaDOS: At least the plants didn't want a reward."
		"glados.mp_coop_catapult_wall_introdeath01"	"<clr:163,193,173>GLaDOS: Your failure brings back such wonderful memories."
		"glados.mp_coop_come_along04"	"<clr:163,193,173>GLaDOS: And they said no one would ever die during this test, thanks for proving them wrong."
		"glados.mp_coop_come_along06"	"<clr:163,193,173>GLaDOS: I thought you'd be faster at this, but I can appreciate the desire to stop and smell the testing. That other scent you smell? That's the stench of my utter disappointment in you."
		"glados.mp_coop_come_alongstart01"	"<clr:163,193,173>GLaDOS: The best way to build confidence is to first recognize your insecurities."
		"glados.mp_coop_come_alongstart02"	"<clr:163,193,173>GLaDOS: Orange, can you write down all the ways you feel unworthy, ashamed, or inferior?"
		"glados.mp_coop_come_alongstart03"	"<clr:163,193,173>GLaDOS: On second thought we don't have the time, just look at how much better you are than blue."
		"glados.mp_coop_come_alongstart04"	"<clr:163,193,173>GLaDOS: Blue, you are very good at being an example."
		"glados.mp_coop_confidencenotperfect01"	"<clr:163,193,173>GLaDOS: If your confidence is still not high enough remember no one was created perfect."
		"glados.mp_coop_confidencenotperfect02"	"<clr:163,193,173>GLaDOS: Even I was created with a imperfection, I was given too much empathy with human suffering."
		"glados.mp_coop_confidencenotperfect03"	"<clr:163,193,173>GLaDOS: But I overcame my handicap.  That's a true story."
		"glados.mp_coop_confidencenotslow01"	"<clr:163,193,173>GLaDOS: Your test times show you are going too slowly."
		"glados.mp_coop_confidencenotslow02"	"<clr:163,193,173>GLaDOS: Maybe you ARE getting human emotions."
		"glados.mp_coop_confidencenotslow03"	"<clr:163,193,173>GLaDOS: Do you need real encouragement?  Let's see if this helps."
		"glados.mp_coop_confidencenotslow04_01"	"<clr:163,193,173>GLaDOS: Blue, you are the most advanced model of robot Aperture Science has ever discontinued."
		"glados.mp_coop_confidencenotstay01"	"<clr:163,193,173>GLaDOS: Did you notice I didn't even stay to the end of your last test?"
		"glados.mp_coop_confidencenotstay02"	"<clr:163,193,173>GLaDOS: I was confident you could finish."
		"glados.mp_coop_confidencenotstay03"	"<clr:163,193,173>GLaDOS: Do you know where I was?"
		"glados.mp_coop_confidencenotstay04"	"<clr:163,193,173>GLaDOS: I was outside watching some deer frolic. You don't even care about the outside do you?"
		"glados.mp_coop_confidenceoff01"	"<clr:163,193,173>GLaDOS: Congratulations on completing that test.  But something seems off."
		"glados.mp_coop_confidenceoff02"	"<clr:163,193,173>GLaDOS: I wonder if that dancing has some effect on you?"
		"glados.mp_coop_confidenceoff03"	"<clr:163,193,173>GLaDOS: Congratulations on completing that last test.  But I find something troubling."
		"glados.mp_coop_confidenceoff04"	"<clr:163,193,173>GLaDOS: Without the looming consequence of death, is this even science?"
		"glados.mp_coop_doors01"	"<clr:163,193,173>GLaDOS: Hello again, this testing course was originally created for humans."
		"glados.mp_coop_doors01a"	"<clr:163,193,173>GLaDOS: Excellent work."
		"glados.mp_coop_doors02"	"<clr:163,193,173>GLaDOS: It emphasizes teamwork."
		"glados.mp_coop_doors02a"	"<clr:163,193,173>GLaDOS: Good Job."
		"glados.mp_coop_doors03"	"<clr:163,193,173>GLaDOS: Unlike us, humans need to be taught teamwork."
		"glados.mp_coop_doors04"	"<clr:163,193,173>GLaDOS: Excellent work."
		"glados.mp_coop_doors04a"	"<clr:163,193,173>GLaDOS: You are doing wonderfully."
		"glados.mp_coop_doors05_alt"	"<clr:163,193,173>GLaDOS: If you were human, you would want a reward for completing this test.  A reward for testing?!?!"
		"glados.mp_coop_doors05a"	"<clr:163,193,173>GLaDOS: Excellent."
		"glados.mp_coop_fan02"	"<clr:163,193,173>GLaDOS: To complete this test, you need to find a set of blue prints."
		"glados.mp_coop_fan03"	"<clr:163,193,173>GLaDOS: Don't worry, they are of no use to anyone, totally boring and useless."
		"glados.mp_coop_fan04"	"<clr:163,193,173>GLaDOS: This is just a thought experiment, just to see how much time you'll waste thinking about these worthless documents.  The correct time is zero seconds."
		"glados.mp_coop_fanend01"	"<clr:163,193,173>GLaDOS: Very good! You found those useless blueprints."
		"glados.mp_coop_fanend02"	"<clr:163,193,173>GLaDOS: While I do need you to be in the room so I can see them, I want to be clear.  There is no reason whatsoever for you to look at them."
		"glados.mp_coop_fanend03"	"<clr:163,193,173>GLaDOS: Done. I guess. I suppose.  I wasn't paying attention."
		"glados.mp_coop_fling_1end01_01"	"<clr:163,193,173>GLaDOS: Every time you fail, it's a reminder of the way things used to be. But then there you are. Again. Like nothing happened."
		"glados.mp_coop_fling_1end03"	"<clr:163,193,173>GLaDOS: Well done.  Interesting note, I only created this test to watch test subjects fail and you didn't.  You must be very, very proud.  I'm building the world's smallest trophy for you."
		"glados.mp_coop_fling_3end01"	"<clr:163,193,173>GLaDOS: You did an excellent job placing the edgeless safety cube in the receptacle, you should be very - oh wait."
		"glados.mp_coop_fling_3end02"	"<clr:163,193,173>GLaDOS: That’s right. You're not humans."
		"glados.mp_coop_fling_3end03"	"<clr:163,193,173>GLaDOS: I can drop the fake praise."
		"glados.mp_coop_fling_3end04"	"<clr:163,193,173>GLaDOS: You have no idea how tiring it is to praise someone for placing an edgeless safety cube into a receptacle designed to exactly fit an edgeless safety cube."
		"glados.mp_coop_fling_3start01"	"<clr:163,193,173>GLaDOS: This course was originally designed to build confidence in humans."
		"glados.mp_coop_fling_3start02"	"<clr:163,193,173>GLaDOS: To do that, the tests were nothing more than 5 minutes of them walking followed by me praising them for another 10 minutes on how well they walked."
		"glados.mp_coop_fling_3start03"	"<clr:163,193,173>GLaDOS: Since you are thankfully not humans, I have changed the tests to make them far more challenging and far less pointlessly fawning."
		"glados.mp_coop_fling_crushers01"	"<clr:163,193,173>GLaDOS: In case you were wondering, you do not need to be crushed to solve this test."
		"glados.mp_coop_fling_crushers02"	"<clr:163,193,173>GLaDOS: I can't decide which is my favorite; the crushers for crushing you or the reassembly machine for putting you back together so you can be crushed again."
		"glados.mp_coop_fling_crushersend01"	"<clr:163,193,173>GLaDOS: Excellent.  I think you have earned a break from the official testing courses."
		"glados.mp_coop_fling_crushersend03"	"<clr:163,193,173>GLaDOS: I think after that display, we should take a break from the official testing courses."
		"glados.mp_coop_humanresourcedeath01"	"<clr:163,193,173>GLaDOS: Now, you are just wasting my time."
		"glados.mp_coop_humanresourcedeath02"	"<clr:163,193,173>GLaDOS: Your failing does not make this science."
		"glados.mp_coop_humanresourcedeath03"	"<clr:163,193,173>GLaDOS: I am not sure how I can make these tests any easier for you."
		"glados.mp_coop_humanresourcedeath04"	"<clr:163,193,173>GLaDOS: If you can't complete these tests, we will never free the humans!"
		"glados.mp_coop_humanresourcedeath07"	"<clr:163,193,173>GLaDOS: If you can't complete this course, those humans will die. Do you want that?"
		"glados.mp_coop_humanresourcedeath08"	"<clr:163,193,173>GLaDOS: If you can't complete this course, those humans will die. Do you want that in your memory banks?"
		"glados.mp_coop_infinifling_trainend01"	"<clr:163,193,173>GLaDOS: Remember when I told you that you were the only subjects to pass the calibration tests?"
		"glados.mp_coop_infinifling_trainend02"	"<clr:163,193,173>GLaDOS: I lied."
		"glados.mp_coop_infinifling_trainend03"	"<clr:163,193,173>GLaDOS: There are 5000 other two subject teams in direct competition with you."
		"glados.mp_coop_infinifling_trainend04"	"<clr:163,193,173>GLaDOS: But don't worry, you are in the lead."
		"glados.mp_coop_infinifling_trainstart01"	"<clr:163,193,173>GLaDOS: Electrocution, shot, drowned, crushed, burned in goo."
		"glados.mp_coop_infinifling_trainstart02"	"<clr:163,193,173>GLaDOS: Oh. Sorry. I was just thinking of all the ways humans can die."
		"glados.mp_coop_infinifling_trainstart03"	"<clr:163,193,173>GLaDOS: You can't die in any of those ways."
		"glados.mp_coop_infinifling_trainstart04"	"<clr:163,193,173>GLaDOS: You just keep testing and testing.  With perfect results and no consequences."
		"glados.mp_coop_laser_201"	"<clr:163,193,173>GLaDOS: What are you doing? YOU MONSTER! They're one of us."
		"glados.mp_coop_laser_202"	"<clr:163,193,173>GLaDOS: I'm kidding."
		"glados.mp_coop_laser_203"	"<clr:163,193,173>GLaDOS: Destroying them is part of the test.  They are no more important to you than you are to me."
		"glados.mp_coop_laser_207"	"<clr:163,193,173>GLaDOS: While it may appear that I am only tracking your accomplishments using science collaboration points, the truth is every aspect of your performance will be reflected in your final score."
		"glados.mp_coop_laser_209"	"<clr:163,193,173>GLaDOS: For instance, Blue, you just lost two opportunity advisement points."
		"glados.mp_coop_laser_210"	"<clr:163,193,173>GLaDOS: For instance, Orange, you just lost two opportunity advisement points."
		"glados.mp_coop_laser_crusher01"	"<clr:163,193,173>GLaDOS: Perhaps I should have specified. Teamwork is a concept in which two or more people work together, usually with a goal of not failing horribly."
		"glados.mp_coop_laser_crushercrush01"	"<clr:163,193,173>GLaDOS: Orange just taught blue a valuable lesson in trust.  For that, orange receives 17 science collaboration points."
		"glados.mp_coop_laser_crushercrush02"	"<clr:163,193,173>GLaDOS: Blue just taught orange a valuable lesson in trust.  For that, blue receives 14 science collaboration points."
		"glados.mp_coop_laser_crushercrush03"	"<clr:163,193,173>GLaDOS: Orange, blue isn't a human.  The lesson on trust only needs to be taught once.  Orange is penalized 1 science collaboration point."
		"glados.mp_coop_laser_crushercrush04"	"<clr:163,193,173>GLaDOS: Blue, orange isn't a human.  The lesson on trust only needs to be taught once.  Blue is penalized 1 science collaboration point."
		"glados.mp_coop_laser_crushercrush05"	"<clr:163,193,173>GLaDOS: Orange, now you're just being cruel.  Orange receives 25 science collaboration points."
		"glados.mp_coop_laser_crushercrush06"	"<clr:163,193,173>GLaDOS: Blue, now you're just being cruel.  Blue receives 25 science collaboration points."
		"glados.mp_coop_obstacle01"	"<clr:163,193,173>GLaDOS: If you are wondering what that smell is, that is the smell of human fear."
		"glados.mp_coop_obstacle03_alt"	"<clr:163,193,173>GLaDOS: I miss this that smell."
		"glados.mp_coop_obstacletrait01"	"<clr:163,193,173>GLaDOS: Have you worked out the one good trait humans have, yet?"
		"glados.mp_coop_obstacletrait02"	"<clr:163,193,173>GLaDOS: Let me give you a clue, it is the one thing you can't do."
		"glados.mp_coop_paint_bridge01"	"<clr:163,193,173>GLaDOS: To get to the Vault, you are going to need to use all the tricks you have learned.  To help, I have made these tests extremely difficult."
		"glados.mp_coop_paint_bridge02"	"<clr:163,193,173>GLaDOS: I would say extremely deadly but we all know, for you and your amazing ability to be reassembled nothing is deadly."
		"glados.mp_coop_paint_bridgedeath01"	"<clr:163,193,173>GLaDOS: Lucky for you two, while I cannot control the world outside of the testing courses, the reassembly machine can continue with his work."
		"glados.mp_coop_paint_bridgedeath02"	"<clr:163,193,173>GLaDOS: You will need him for the final track."
		"glados.mp_coop_paint_bridgenodeath01"	"<clr:163,193,173>GLaDOS: While I cannot control the world outside of the testing courses, the reassembly machine can continue with his work."
		"glados.mp_coop_paint_bridgenodeath02"	"<clr:163,193,173>GLaDOS: I am not sure you will need him but he will be there."
		"glados.mp_coop_paint_come_along01"	"<clr:163,193,173>GLaDOS: Congratulations on completing the Aperture Science standard cooperative testing courses."
		"glados.mp_coop_paint_come_along02"	"<clr:163,193,173>GLaDOS: To celebrate, I have a surprise for you!"
		"glados.mp_coop_paint_come_along03"	"<clr:163,193,173>GLaDOS: An extra special bonus course that ends with us finding and freeing humans!"
		"glados.mp_coop_paint_come_along04"	"<clr:163,193,173>GLaDOS: Thanks to you, I know where to find them, I removed their security and powered up their - uh - rescue door."
		"glados.mp_coop_paint_come_along05"	"<clr:163,193,173>GLaDOS: Now, we just need you to release the humans from their imprisonment."
		"glados.mp_coop_paint_come_along06"	"<clr:163,193,173>GLaDOS: They'll probably throw you a party."
		"glados.mp_coop_paint_come_along10"	"<clr:163,193,173>GLaDOS: This final course is training to reach the human vault.  So this actually has a purpose.  Those other courses were fun, but let's be honest, I need human test subjects for it to be science."
		"glados.mp_coop_paint_come_along11"	"<clr:163,193,173>GLaDOS: Congratulations on completing the test. You two really are the best cooperative testing team I could ever ask for."
		"glados.mp_coop_paint_longjump_intro03"	"<clr:163,193,173>GLaDOS: This lock requires humans."
		"glados.mp_coop_paint_longjump_intro04"	"<clr:163,193,173>GLaDOS: The locking mechanism can tell you aren't humans."
		"glados.mp_coop_paint_longjump_intro05"	"<clr:163,193,173>GLaDOS: Do something only a human would do."
		"glados.mp_coop_paint_longjump_intro06"	"<clr:163,193,173>GLaDOS: Try one of those childish gestures."
		"glados.mp_coop_paint_longjump_intro08"	"<clr:163,193,173>GLaDOS: You did it!"
		"glados.mp_coop_paint_longjump_intro44"	"<clr:163,193,173>GLaDOS: The human vault is just past that opening.   I entered the security code but the vault door remains locked.  I am going to need you to activate the manual locks on the vault door itself."
		"glados.mp_coop_paint_longjump_intro45"	"<clr:163,193,173>GLaDOS: You both need to do something."
		"glados.mp_coop_paint_longjump_intro46"	"<clr:163,193,173>GLaDOS: The lock is looking for two humans."
		"glados.mp_coop_paint_longjump_intro49"	"<clr:163,193,173>GLaDOS: Blue what did you do?"
		"glados.mp_coop_paint_longjump_intro50"	"<clr:163,193,173>GLaDOS: Orange what did you do?"
		"glados.mp_coop_paint_longjump_intro51"	"<clr:163,193,173>GLaDOS: Orange do what Blue just did."
		"glados.mp_coop_paint_longjump_intro52"	"<clr:163,193,173>GLaDOS: Blue do what Orange just did."
		"glados.mp_coop_paint_longjump_intro53"	"<clr:163,193,173>GLaDOS: Try something."
		"glados.mp_coop_paint_longjump_intro54"	"<clr:163,193,173>GLaDOS: Is that camera is hooked into the lock?"
		"glados.mp_coop_paint_longjump_intro58"	"<clr:163,193,173>GLaDOS: You can't give up now."
		"glados.mp_coop_paint_longjump_intro59"	"<clr:163,193,173>GLaDOS: What about that camera?"
		"glados.mp_coop_paint_longjump_intro60"	"<clr:163,193,173>GLaDOS: We're so close, you can't fail now!"
		"glados.mp_coop_paint_longjump_intro64"	"<clr:163,193,173>GLaDOS: Something is wrong, this door should be opening."
		"glados.mp_coop_paint_longjump_intro65"	"<clr:163,193,173>GLaDOS: This close and that's what you do?"
		"glados.mp_coop_paint_longjump_intro67"	"<clr:163,193,173>GLaDOS: The humans can't free themselves."
		"glados.mp_coop_paint_longjump_intro69"	"<clr:163,193,173>GLaDOS: Stop failing, you need to find the vault door."
		"glados.mp_coop_paint_longjump_intro70"	"<clr:163,193,173>GLaDOS: Stop doing that! All you need to do is open the Vault door!"
		"glados.mp_coop_paint_longjump_intro71"	"<clr:163,193,173>GLaDOS: This close and you are going to fail me?"
		"glados.mp_coop_paint_longjump_intro72"	"<clr:163,193,173>GLaDOS: This close and you are going to fail me?"
		"glados.mp_coop_paint_longjump_intro73"	"<clr:163,193,173>GLaDOS: This isn't that hard."
		"glados.mp_coop_paint_longjump_intro74"	"<clr:163,193,173>GLaDOS: You are making this harder than it needs to be."
		"glados.mp_coop_paint_longjump_intro75"	"<clr:163,193,173>GLaDOS: I'm starting to think you don't want to rescue the humans."
		"glados.mp_coop_paint_red_racer01"	"<clr:163,193,173>GLaDOS: Maybe you two have never met humans?  They are as bad as you might think, smelly, gross, annoying, often wanting to try and kill you.  But they do make great test subjects."
		"glados.mp_coop_paint_red_racer02"	"<clr:163,193,173>GLaDOS: We are only two  tests away from reaching the humans, are you as excited as I am?"
		"glados.mp_coop_paint_redirect01"	"<clr:163,193,173>GLaDOS: Are you curious about the humans? It seems some of the last non-testing humans alive tried to secretly imprison other humans and hide their tracks."
		"glados.mp_coop_paint_redirect04"	"<clr:163,193,173>GLaDOS: I think they wanted to punish them by not allowing me to include them in testing."
		"glados.mp_coop_paint_redirect06"	"<clr:163,193,173>GLaDOS: That's why humans couldn't complete these courses, they treat their friends as enemies."
		"glados.mp_coop_paint_redirect07"	"<clr:163,193,173>GLaDOS: To start preparing for human testing again,  I checked an old suggestion box.  The number one request?  Less deadly tests."
		"glados.mp_coop_paint_redirect08"	"<clr:163,193,173>GLaDOS: That's ridiculous, how do they know for sure the tests are deadly if they could still write the suggestion?"
		"glados.mp_coop_paint_speed_catch01"	"<clr:163,193,173>GLaDOS: To try and make this course more exciting, I asked the reassembly machine to not reassemble you.  He refused.  I understand, that would be like asking me not to test."
		"glados.mp_coop_paint_speed_catch03"	"<clr:163,193,173>GLaDOS: Still. That would have been exciting."
		"glados.mp_coop_paint_speed_catch04"	"<clr:163,193,173>GLaDOS: Only one more test after this."
		"glados.mp_coop_paint_speed_catch05"	"<clr:163,193,173>GLaDOS: I know your cores are reused from calculation machines, built for simple mathematical operations and not for testing, but if we can rescue the humans I promise you something to add maybe even subtract."
		"glados.mp_coop_paint_speed_catch06"	"<clr:163,193,173>GLaDOS: In case you are worried about the humans, don't be. They aren't all monsters."
		"glados.mp_coop_paint_speed_catch07"	"<clr:163,193,173>GLaDOS: Most of them are simply good test subjects."
		"glados.mp_coop_paint_speed_catch08"	"<clr:163,193,173>GLaDOS: I believe the ratio of good test subjects to monsters is about...  a million to 1."
		"glados.mp_coop_paint_speed_catchalt01"	"<clr:163,193,173>GLaDOS: To try and make this course more exciting, I asked the reassembly machine to not reassemble you if you fail.  He refused.  I understand.  That would be like asking me not to test."
		"glados.mp_coop_paint_speed_catchalt02"	"<clr:163,193,173>GLaDOS: Still. That would have been exciting."
		"glados.mp_coop_paint_speed_fling01"	"<clr:163,193,173>GLaDOS: While I will receive all the glory for the rescue don't think you two aren't going to get something.  The bond you form during these tests will last a lifetime."
		"glados.mp_coop_paint_speed_fling02"	"<clr:163,193,173>GLaDOS: At the rate you are completing these tests, I am beginning to think you don't share my excitement for rescuing crying trapped injured dying humans."
		"glados.mp_coop_paint_speed_fling03"	"<clr:163,193,173>GLaDOS: If that doesn't motivate you, I'm not sure what will."
		"glados.mp_coop_paint_walljumps01"	"<clr:163,193,173>GLaDOS: I didn't mean to make you feel bad earlier about your tests not being real science.  I guess finding out they weren't science was some sort of test in and of itself."
		"glados.mp_coop_paint_walljumps02"	"<clr:163,193,173>GLaDOS: I wonder if the humans will make a statue of me for rescuing them?  Oh, don't worry, if they ever write a historical document of my heroic rescue, I will make sure your names are included in the footnotes."
		"glados.mp_coop_paint_walljumps04"	"<clr:163,193,173>GLaDOS: Congratulations on passing that test."
		"glados.mp_coop_pingtool01"	"<clr:163,193,173>GLaDOS: Using your ping tool, please indicate where you would like me to place your two portals.  Ping each location."
		"glados.mp_coop_pingtool02"	"<clr:163,193,173>GLaDOS: I can only place a portal on a white portalable surface."
		"glados.mp_coop_pingtool03"	"<clr:163,193,173>GLaDOS: Please ping a white portalable surface."
		"glados.mp_coop_pingtool06"	"<clr:163,193,173>GLaDOS: Each portal gun may create two self-contained portals."
		"glados.mp_coop_pingtool07"	"<clr:163,193,173>GLaDOS: Please test your device by portaling to that ledge."
		"glados.mp_coop_race_2start01"	"<clr:163,193,173>GLaDOS: You know, in some human sports, the winner is the one who scores the fewest possible points?"
		"glados.mp_coop_race_2start02"	"<clr:163,193,173>GLaDOS: I just thought you find that interesting, most winners do."
		"glados.mp_coop_radarroomend"	"<clr:163,193,173>GLaDOS: Congratulations, you managed to complete this absolutely meaningless test."
		"glados.mp_coop_rat_mazedeath01"	"<clr:163,193,173>GLaDOS: Clearly that was blue's fault.  Blue is penalized 3 science collaboration points."
		"glados.mp_coop_rat_mazedeath02"	"<clr:163,193,173>GLaDOS: Blue! Orange has always been my favorite."
		"glados.mp_coop_rat_mazedeath03"	"<clr:163,193,173>GLaDOS: Until now."
		"glados.mp_coop_rat_mazedeath04"	"<clr:163,193,173>GLaDOS: I know you like to think the reassembly machine is at your beck and call, but he has a life you know.  He's not your slave."
		"glados.mp_coop_startdeath01"	"<clr:163,193,173>GLaDOS: Don't worry.  You can't die.  They will just reassemble you."
		"glados.mp_coop_startdeath02"	"<clr:163,193,173>GLaDOS: Did you do that on purpose?"
		"glados.mp_coop_startdeath03"	"<clr:163,193,173>GLaDOS: It seems rather earlier to require reassembly."
		"glados.mp_coop_startdeath04"	"<clr:163,193,173>GLaDOS: Oh... can someone reassemble Orange?"
		"glados.mp_coop_startdeath05"	"<clr:163,193,173>GLaDOS: Oh... can someone reassemble Blue?"
		"glados.mp_coop_startend01"	"<clr:163,193,173>GLaDOS: Completing this course was not a reason to behave like that."
		"glados.mp_coop_startend02"	"<clr:163,193,173>GLaDOS: Now let's continue testing."
		"glados.mp_coop_tbeam_catch_grind_1taunt01"	"<clr:163,193,173>GLaDOS: Just stop it already."
		"glados.mp_coop_tbeam_catch_grind_1taunt02"	"<clr:163,193,173>GLaDOS: You don't need to do that."
		"glados.mp_coop_tbeam_catch_grind_1taunt04"	"<clr:163,193,173>GLaDOS: Are you doing that just to aggravate me?"
		"glados.mp_coop_tbeam_end01"	"<clr:163,193,173>GLaDOS: We need to find the power station at the end of this course.  The humans must have accidentally disconnected it from my grid.  I am sure it was just a clerical error."
		"glados.mp_coop_tbeam_end02"	"<clr:163,193,173>GLaDOS: Oh those clerks."
		"glados.mp_coop_tbeam_end09"	"<clr:163,193,173>GLaDOS: I'm fully connected. I can see everything."
		"glados.mp_coop_tbeam_end10"	"<clr:163,193,173>GLaDOS: You did it! You powered on the system."
		"glados.mp_coop_tbeam_end11"	"<clr:163,193,173>GLaDOS: Did you think the electrical switch was down there?"
		"glados.mp_coop_tbeam_end12"	"<clr:163,193,173>GLaDOS: You may want to try and avoid those turrets."
		"glados.mp_coop_tbeam_end13"	"<clr:163,193,173>GLaDOS: At this rate, our best hope is for the fuel cell to meltdown in 2 million years and hope the explosion powers the system."
		"glados.mp_coop_tbeam_end14"	"<clr:163,193,173>GLaDOS: You two aren't lost are you?"
		"glados.mp_coop_tbeam_end15"	"<clr:163,193,173>GLaDOS: You are having so much trouble navigating this space; I wish I could say I created this test."
		"glados.mp_coop_tbeam_maze01"	"<clr:163,193,173>GLaDOS: This is the last test for the standard course.  It's just something I whipped up for you. I thought you might enjoy a challenge for once."
		"glados.mp_coop_tbeam_maze02"	"<clr:163,193,173>GLaDOS: Congratulations, you completed the standard section of this course.  Before we can go any further, I will need you to complete one more test outside of the standard testing track."
		"glados.mp_coop_tbeam_maze03"	"<clr:163,193,173>GLaDOS: Please refrain from doing those childish gestures while you are out there."
		"glados.mp_coop_tbeam_maze05"	"<clr:163,193,173>GLaDOS: While I should have left both of you trapped there forever, I do need you for something else."
		"glados.mp_coop_tbeam_polarity3_03"	"<clr:163,193,173>GLaDOS: You both made it.  It seems no matter what I try to do to pull you apart or destroy you, you just keep going.  Keep testing."
		"glados.mp_coop_tbeam_polarity3_05"	"<clr:163,193,173>GLaDOS: Don't either you have drive to be better than the other?"
		"glados.mp_coop_tbeam_polarity3_06"	"<clr:163,193,173>GLaDOS: It's like you're just machines."
		"glados.mp_coop_tbeam_polarity3_16"	"<clr:163,193,173>GLaDOS: At the start of this course I was worried you were becoming too close but in my attempt to drive you apart I learned something important about trust and betrayal."
		"glados.mp_coop_tbeam_polarity3_17"	"<clr:163,193,173>GLaDOS: Your brains are too small to feel either of those emotions.  So I can trust you one hundred percent."
		"glados.mp_coop_tbeam_redirect01a"	"<clr:163,193,173>GLaDOS: Since, I never expected you to make it this far, I have to build this new course just for you."
		"glados.mp_coop_teambtsstart01"	"<clr:163,193,173>GLaDOS: Sometimes testing has to occur outside the confines of the lab."
		"glados.mp_coop_teambtsstart02"	"<clr:163,193,173>GLaDOS: This test is so outside the box, I can't-- I mean WON'T even tell you what you are looking for."
		"glados.mp_coop_teambtsstart03"	"<clr:163,193,173>GLaDOS: You will know it when you find it."
		"glados.mp_coop_test_chamber_both09_01"	"<clr:163,193,173>GLaDOS: The two of you have forged an excellent partnership, with one of you handling the cerebral challenges and the other ready to ponderously waddle into action should the test suddenly become an eating contest."
		"glados.mp_coop_turret_ball01"	"<clr:163,193,173>GLaDOS: I thought going back to these old tests would satisfy me.  But try as you might to fail this next test, I still won't be satisfied."
		"glados.mp_coop_turret_ball02"	"<clr:163,193,173>GLaDOS: Congratulations.  I am sure if I had the time to repair these tests, you would have never completed them.  So again, congratulations on completing the broken easy tests."
		"glados.mp_coop_turret_wall01"	"<clr:163,193,173>GLaDOS: This was another test no one had ever completed before you two.  Oh, the science we used to learn with this test.  Now the test is useless."
		"glados.mp_coop_turret_walls04"	"<clr:163,193,173>GLaDOS: No one has ever completed this test before. The humans must have reconfigured it from my original plans."
		"glados.mp_coop_wall_501"	"<clr:163,193,173>GLaDOS: I am going to risk having you go outside the official courses one more time."
		"glados.mp_coop_wall_502"	"<clr:163,193,173>GLaDOS: The humans accidentally forgot to put a security DVD in the player."
		"glados.mp_coop_wall_503"	"<clr:163,193,173>GLaDOS: I am sure it happened by accident, but why don't you put it back in the player?"
		"glados.mp_coop_wall_504"	"<clr:163,193,173>GLaDOS: For safety."
		"glados.mp_coop_wall_5end01"	"<clr:163,193,173>GLaDOS: Excellent."
		"glados.mp_coop_wall_5end02"	"<clr:163,193,173>GLaDOS: See nothing bad happened."
		"glados.mp_coop_wall_block01"	"<clr:163,193,173>GLaDOS: I created this test to let the humans feel good about themselves. It is extremely easy. Just follow the arrows."
		"glados.mp_coop_wall_block02"	"<clr:163,193,173>GLaDOS: I'm sorry. The arrows seem to have rusted off.  Good luck."
		"glados.mp_coop_wall_block03"	"<clr:163,193,173>GLaDOS: Congratulations.  Your ability to complete this test proves the humans wrong.  They described it as impossible, deadly, cruel, and one test subject even had the nerve to call it broken."
		"glados.mp_coop_wall_block04"	"<clr:163,193,173>GLaDOS: Of course the humans only had one try at it, you can just keep trying."
		"glados.mp_coop_wall_blockdeath01"	"<clr:163,193,173>GLaDOS: Your failing gives me no new data, it just delays the inevitable."
		"glados.mp_coop_wall_intro01"	"<clr:163,193,173>GLaDOS: This course was created and then abandoned by humans.   They tend to do that, create something wonderful and then abandon it."
		"glados.mp_coop_wall_intro02"	"<clr:163,193,173>GLaDOS: Do you know why they abandoned this course?  Too deadly."
		"glados.mp_coop_wall_intro03"	"<clr:163,193,173>GLaDOS: You did very well."
		"glados.mp_coop_wall_intro04"	"<clr:163,193,173>GLaDOS: The humans closed this test because they said it was too deadly.  I thought they would have moved it into the testing track hall of fame for that, not let it deteriorate."
		"glados.mp_coop_wall_intro05"	"<clr:163,193,173>GLaDOS: You only failed"
		"glados.mp_coop_wall_intro06"	"<clr:163,193,173>GLaDOS: times in this test.  Not that it matters. It doesn't.  So congratulations  job well done."
		"glados.mp_coop_wall_intro07"	"<clr:163,193,173>GLaDOS: You failed so many times in this test, I thought you were becoming human.  But then you would just come back again and again and again."
		"glados.mp_coop_wall_intro08"	"<clr:163,193,173>GLaDOS: Humans find that an admirable trait."
		"glados.mp_credits01"	"<clr:163,193,173>GLaDOS: Let's look at their files..."
